key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_KINGMK103_05472_SEQ_00,第三站的桑克瑞德很詫異。
1,TEXT_KINGMK103_05472_SEQ_01,據地形威所說，嘆息海也出現了妖異。尋找在嘆息海北邊遭到襲擊的兔兔族，討伐妖異。
2,TEXT_KINGMK103_05472_SEQ_02,討伐了妖異。救助嘆息海北邊的踉踉蹌蹌的兔兔族。
3,TEXT_KINGMK103_05472_SEQ_03,從踉踉蹌蹌的兔兔族處打聽到了生命威的行蹤。在嘆息海靈水之劍附近尋找生命威，討伐妖異。
4,TEXT_KINGMK103_05472_SEQ_04,討伐了妖異。救助靈水之劍附近的生命威。
5,TEXT_KINGMK103_05472_SEQ_05,救助了生命威。打聽詳細情況，再次確認封印裝置的情況。
6,TEXT_KINGMK103_05472_SEQ_06,阿謝姆的水晶和聯結世界之力的鑰匙產生共鳴，冒險者眼前出現了一條通向虛無界的發光道路。在虛無界，冒險者與零還有高貝扎重逢，幾人協力一起討伐接近虛無界之門的大妖異恩歐。
7,TEXT_KINGMK103_05472_SEQ_07,討伐了恩歐。和紅月的零確認狀況。<hex:02100103>離開紅月后，可以從靈水之劍再次前往。
8,TEXT_KINGMK103_05472_SEQ_08,和零進行了交談。將<hex:022811FF0A>EventItem<hex:F61E936E0103>交給紅月的零。
9,TEXT_KINGMK103_05472_SEQ_09,零收下了尤盧斯托付的餡餅，她很懷念原初世界。繼續與她共享再會的時光。
10,TEXT_KINGMK103_05472_SEQ_10,
11,TEXT_KINGMK103_05472_SEQ_11,
12,TEXT_KINGMK103_05472_SEQ_12,
13,TEXT_KINGMK103_05472_SEQ_13,
14,TEXT_KINGMK103_05472_SEQ_14,
15,TEXT_KINGMK103_05472_SEQ_15,
16,TEXT_KINGMK103_05472_SEQ_16,
17,TEXT_KINGMK103_05472_SEQ_17,
18,TEXT_KINGMK103_05472_SEQ_18,
19,TEXT_KINGMK103_05472_SEQ_19,
20,TEXT_KINGMK103_05472_SEQ_20,
21,TEXT_KINGMK103_05472_SEQ_21,
22,TEXT_KINGMK103_05472_SEQ_22,
23,TEXT_KINGMK103_05472_SEQ_23,
24,TEXT_KINGMK103_05472_TODO_00,尋找遭到襲擊的兔兔族 討伐妖異
25,TEXT_KINGMK103_05472_TODO_01,救助踉踉蹌蹌的兔兔族
26,TEXT_KINGMK103_05472_TODO_02,尋找生命威 討伐妖異
27,TEXT_KINGMK103_05472_TODO_03,救助生命威
28,TEXT_KINGMK103_05472_TODO_04,救助生命威
29,TEXT_KINGMK103_05472_TODO_05,突破恩歐殲滅戰
30,TEXT_KINGMK103_05472_TODO_06,突破恩歐殲滅戰
31,TEXT_KINGMK103_05472_TODO_07,將<hex:022811FF0A>EventItem<hex:F61E936E0103>交給零
32,TEXT_KINGMK103_05472_TODO_08,
33,TEXT_KINGMK103_05472_TODO_09,
34,TEXT_KINGMK103_05472_TODO_10,
35,TEXT_KINGMK103_05472_TODO_11,
36,TEXT_KINGMK103_05472_TODO_12,
37,TEXT_KINGMK103_05472_TODO_13,
38,TEXT_KINGMK103_05472_TODO_14,
39,TEXT_KINGMK103_05472_TODO_15,
40,TEXT_KINGMK103_05472_TODO_16,
41,TEXT_KINGMK103_05472_TODO_17,
42,TEXT_KINGMK103_05472_TODO_18,
43,TEXT_KINGMK103_05472_TODO_19,
44,TEXT_KINGMK103_05472_TODO_20,
45,TEXT_KINGMK103_05472_TODO_21,
46,TEXT_KINGMK103_05472_TODO_22,
47,TEXT_KINGMK103_05472_TODO_23,
48,TEXT_KINGMK103_05472_ALPHINAUD_000_001,由衷感謝各位前來支援，<hex:02100103>也感謝幫忙聯絡的塔塔露他們。<hex:02100103>多虧大家，我們才能將損失控制在最小範圍。
49,TEXT_KINGMK103_05472_ALISAIE_000_005,我們在圖萊尤拉學到的知識這麼快就派上了用場，<hex:02100103>真是開心！
50,TEXT_KINGMK103_05472_URIANGER_000_010,克呂提俄斯魔導工廠的裂痕全部關閉了。<hex:02100103>應該不會再有妖異鑽出來了。
51,TEXT_KINGMK103_05472_GRAHATIA_000_015,妖異不僅會吸食別人的以太，<hex:02100103>還會繼承那個人的思想。<hex:02100103>希望他能繼承死者們的遺願，重建虛無界。
52,TEXT_KINGMK103_05472_JULLUS_000_020,「無知引發衝突，理解建立友誼」……<hex:02100103>說得太好了。<hex:02100103>希望剛才的妖異和零也能互相理解，建立友誼。
53,TEXT_KINGMK103_05472_MAPPINGWAY_000_025,
54,TEXT_KINGMK103_05472_ALPHINAUD_000_030,
55,TEXT_KINGMK103_05472_ALISAIE_000_035,
56,TEXT_KINGMK103_05472_THANCRED_000_040,
57,TEXT_KINGMK103_05472_URIANGER_000_045,
58,TEXT_KINGMK103_05472_KRILE_000_050,
59,TEXT_KINGMK103_05472_LOPORRIT05472_000_200,得救了！<hex:02100103>妖異突然出現，嚇得我腿都軟啦……
60,TEXT_KINGMK103_05472_LOPORRIT05472_000_201,你在找生命威？<hex:02100103>我看到她往西南邊的靈水之劍方向去了。
61,TEXT_KINGMK103_05472_LOPORRIT05472_000_202,她倒是帶著警備協助機，<hex:02100103>但妖異這麼多，沒問題嗎……<hex:02100103>我好擔心她，請你快去看看吧！
62,TEXT_KINGMK103_05472_SYSTEM_000_500,要前往嘆息海嗎？
63,TEXT_KINGMK103_05472_SYSTEM_000_501,要前往無之領域嗎？
64,TEXT_KINGMK103_05472_LIVINGWAY_000_505,你去哪兒了？<hex:02100103>雅·修特拉和古·拉哈·提亞已經先去幫其他的同伴了。
65,TEXT_KINGMK103_05472_SYSTEM_000_700,將<hex:022811FF0A>EventItem<hex:F61E936E0103>交給懷念原初世界的零。
66,TEXT_KINGMK103_05472_BLACKKNIGHT_000_705,能夠來往于各個世界的鑰匙……<hex:02100103>要是我以前也知道有這種東西，<hex:02100103>或許就會選擇其他的方法了……
67,TEXT_KINGMK103_05472_NOKKEN_000_710,
68,TEXT_KINGMK103_05472_SYSTEM_000_715,要前往紅月嗎？
69,TEXT_KINGMK103_05472_MYSTERIOUSPERSON_000_800,你要給我什麼？
70,TEXT_KINGMK103_05472_MYSTERIOUSPERSON_000_801,這味道……<hex:02100103>難道是食物？
71,TEXT_KINGMK103_05472_MYSTERIOUSPERSON_000_802,我知道餡餅。<hex:02100103>尤盧斯跟我說過，簡單又美味，在家就能做。
72,TEXT_KINGMK103_05472_MYSTERIOUSPERSON_000_803,……看到它我就想起當時在原初世界旅行的事了。<hex:02100103>謝謝。
73,TEXT_KINGMK103_05472_MYSTERIOUSPERSON_000_804,既然給我帶了這麼多，我就也分給高貝扎一點吧。<hex:02100103>他現在也已經不再吞食其他人的以太了。
74,TEXT_KINGMK103_05472_MYSTERIOUSPERSON_000_805,不過其他的妖異依舊在互相吞噬……<hex:02100103>要是現在的虛無界也能生長作物，恢復飲食文化的話，<hex:02100103>我們就不需要吞食靈魂了……
