key,0
#,
offset,0
int32,str
0,完成1次探索任務
1,完成3種探索任務
2,獲得1次探索任務的金星獎勵
3,完成1次緊急探索任務
4,完成1次機甲行動
5,挑戰1次宇宙好運道
6,完成10次月球探索任務
7,完成50次月球探索任務
8,完成100次月球探索任務
9,完成500次月球探索任務
10,完成10種月球探索任務
11,完成50種月球探索任務
12,完成100種月球探索任務
13,獲得10種月球探索任務的金星獎勵
14,獲得50種月球探索任務的金星獎勵
15,獲得100種月球探索任務的金星獎勵
16,完成1次月球的緊急探索任務
17,完成10次月球的緊急探索任務
18,完成30次月球的緊急探索任務
19,以駕駛員身份參加並完成1次月球的機甲行動
20,以駕駛員身份參加並完成5次月球的機甲行動
21,以駕駛員身份參加並完成10次月球的機甲行動
22,以協助員身份參加並完成5次月球的機甲行動
23,以協助員身份參加並完成20次月球的機甲行動
24,以協助員身份參加並完成50次月球的機甲行動
25,解鎖刻木匠的月球C類探索任務
26,解鎖刻木匠的月球B類探索任務
27,解鎖刻木匠的月球A類探索任務
28,解鎖鍛鐵匠的月球C類探索任務
29,解鎖鍛鐵匠的月球B類探索任務
30,解鎖鍛鐵匠的月球A類探索任務
31,解鎖鑄甲匠的月球C類探索任務
32,解鎖鑄甲匠的月球B類探索任務
33,解鎖鑄甲匠的月球A類探索任務
34,解鎖雕金匠的月球C類探索任務
35,解鎖雕金匠的月球B類探索任務
36,解鎖雕金匠的月球A類探索任務
37,解鎖製革匠的月球C類探索任務
38,解鎖製革匠的月球B類探索任務
39,解鎖製革匠的月球A類探索任務
40,解鎖裁衣匠的月球C類探索任務
41,解鎖裁衣匠的月球B類探索任務
42,解鎖裁衣匠的月球A類探索任務
43,解鎖煉金術士的月球C類探索任務
44,解鎖煉金術士的月球B類探索任務
45,解鎖煉金術士的月球A類探索任務
46,解鎖烹調師的月球C類探索任務
47,解鎖烹調師的月球B類探索任務
48,解鎖烹調師的月球A類探索任務
49,解鎖園藝工的月球C類探索任務
50,解鎖園藝工的月球B類探索任務
51,解鎖園藝工的月球A類探索任務
52,解鎖採礦工的月球C類探索任務
53,解鎖採礦工的月球B類探索任務
54,解鎖採礦工的月球A類探索任務
55,解鎖捕魚人的月球C類探索任務
56,解鎖捕魚人的月球B類探索任務
57,解鎖捕魚人的月球A類探索任務
58,挑戰5次月球的宇宙好運道
59,挑戰30次月球的宇宙好運道
60,挑戰100次月球的宇宙好運道
61,完成5種月球的緊急探索任務
62,完成15種月球的緊急探索任務
63,完成33種月球的緊急探索任務
