key,0
#,Name
offset,0
Int32,String
0,
1,手把
2,手把
3,手把
4,手把
5,手把
6,手把
7,手把
8,
9,
10,
21,手把
22,手把
23,無線手把
24,無線手把
25,手把
26,手把
27,手把
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,螢幕鍵盤
42,輔助功能鍵盤
43,軟鍵盤
44,軟鍵盤
45,螢幕鍵盤
46,螢幕鍵盤
47,軟鍵盤
48,
49,
50,
61,方向鍵
62,方向鍵
63,方向鍵
64,方向鍵
65,方向鍵
66,方向鍵
67,方向鍵
68,
69,
70,
81,LB鍵
82,LB鍵
83,L1鍵
84,L1鍵
85,L鍵
86,L鍵
87,L鍵
88,
89,
90,
101,LT鍵
102,LT鍵
103,L2鍵
104,L2鍵
105,LT鍵
106,LT鍵
107,ZL鍵
108,
109,
110,
121,左搖桿按鍵
122,左搖桿按鍵
123,L3鍵
124,L3鍵
125,左搖桿按鍵
126,左搖桿按鍵
127,L搖桿鍵
128,
129,
130,
141,RB鍵
142,RB鍵
143,R1鍵
144,R1鍵
145,R鍵
146,R鍵
147,R鍵
148,
149,
150,
161,RT鍵
162,RT鍵
163,R2鍵
164,R2鍵
165,RT鍵
166,RT鍵
167,ZR鍵
168,
169,
170,
181,右搖桿按鍵
182,右搖桿按鍵
183,R3鍵
184,R3鍵
185,右搖桿按鍵
186,右搖桿按鍵
187,R搖桿鍵
188,
189,
190,
201,左搖桿
202,左搖桿
203,左搖桿
204,左搖桿
205,左搖桿
206,左搖桿
207,L搖桿
208,
209,
210,
221,右搖桿
222,右搖桿
223,右搖桿
224,右搖桿
225,右搖桿
226,右搖桿
227,R搖桿
228,
229,
230,
241,START鍵
242,START鍵
243,OPTIONS鍵
244,OPTIONS鍵
245,選單
246,選單
247,+鍵
248,
249,
250,
261,BACK鍵
262,BACK鍵
263,觸碰板鍵
264,觸碰板鍵
265,檢視鍵
266,檢視鍵
267,-鍵
268,
269,
270,
281,Y鍵
282,Y鍵
283,△鍵
284,△鍵
285,Y鍵
286,Y鍵
287,X鍵
288,
289,
290,
301,B鍵
302,B鍵
303,○鍵
304,○鍵
305,B鍵
306,B鍵
307,A鍵
308,
309,
310,
321,A鍵
322,A鍵
323,×鍵
324,×鍵
325,A鍵
326,A鍵
327,B鍵
328,
329,
330,
341,X鍵
342,X鍵
343,□鍵
344,□鍵
345,X鍵
346,X鍵
347,Y鍵
348,
349,
350,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
461,
462,
463,
464,
465,
466,
467,
468,
469,
470,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
