key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_000,真是讓人神清氣爽的風啊！<hex:02100103>希望路上不會遇到眷屬。
1,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_001,之前我們發現了一座富饒的浮島，<hex:02100103>但在帶它返航時遭到大量眷屬的襲擊……<hex:02100103>它們數量太多了，我們只好中斷牽引，錯失了大賺一筆的機會。
2,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_002,這次有你們跟著，肯定沒問題的！
3,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_003,
4,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_100,航行很順利，也能遠遠看見納格爾法了。<hex:02100103>但還需要很久才能到達……
5,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_101,對了，這期間我就參考你們攜帶的物品，<hex:02100103>試著做些新的魔法器具吧！
6,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_102,
7,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_200,讓你們久等啦！<hex:02100103>那就是水之大陸船「納格爾法」！
8,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_201,我們得著手移交浮島了。<hex:02100103>你和你的朋友們可以準備登上納格爾法啦！
9,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_202,
