key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_000_000,你好，我叫探清威，是本次宇宙探索計劃的分析員。<hex:02100103>等你正式加入探索計劃后，我會為你詳細介紹我的工作。
1,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_000,你好，我叫探清威，<hex:02100103>是本次宇宙探索計劃的分析員。
2,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_010,我的任務是記錄各位協助者的工作成果，<hex:02100103>並按照一定週期進行數據統計。
3,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_020,這些數據除了用於提高探索計劃的推進效率，<hex:02100103>還會用來評估你的貢獻，並按照貢獻程度發放獎勵。
4,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_030,比如一個週期內貢獻度最高的參與者<hex:02100103>會被宇宙探索策劃部評選為貢獻之星進行表彰！
5,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_035,貢獻之星的名字會顯示在貢獻板上。<hex:02100103>雖然有些微不足道，<hex:02100103>但希望這能成為你在探索計劃中大放異彩的紀念！
6,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_100_040,要是還有什麼不明白的地方，<hex:02100103>可以在探索觸控板中詳細瞭解！
7,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_200_000,感謝你對宇宙探索計劃的協助。<hex:02100103>現在不在數據統計期。
8,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_000,感謝你對宇宙探索計劃的協助。<hex:02100103>現在正在統計大家的貢獻度……<hex:02100103>我會仔細記錄各位的精彩表現的！
9,TEXT_CTSWKSDELEGATIONMEMBER_00927_SYSTEM_300_000,要做什麼？
10,TEXT_CTSWKSDELEGATIONMEMBER_00927_Q1_300_000,檢視現在的貢獻度
11,TEXT_CTSWKSDELEGATIONMEMBER_00927_Q1_300_010,對話
12,TEXT_CTSWKSDELEGATIONMEMBER_00927_Q1_300_020,取消
13,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_010,不好意思，現在不在數據統計期，<hex:02100103>因此沒有大家的貢獻度記錄。
14,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_020,好的，這就幫你檢視本週期統計的貢獻度。<hex:02100103>讓我看看……
15,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_030,你現在的貢獻度居然……居然排在前10%！！<hex:02100103>貢獻之星說不定就是你？！
16,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_040,你現在的貢獻度位於前20%！！<hex:02100103>貢獻之星觸手可及了！
17,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_050,你現在的貢獻度位於前30%。<hex:02100103>太出色了，好佩服你！
18,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_060,你現在的貢獻度……剛好是中等水平的前50%！<hex:02100103>照這個勢頭繼續努力吧，我很看好你哦！
19,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_070,你現在做出了非常扎實的貢獻。<hex:02100103>希望你今後能繼續以自己的節奏大放異彩！
20,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_300_080,這邊好像沒有查詢到你本週期的數據，<hex:02100103>請繼續積極協助我們的探索計劃吧！
21,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_400_000,我的任務是記錄各位協助者的工作成果。<hex:02100103>這些數據除了用於提高探索計劃的推進效率，<hex:02100103>還會用來評估你的貢獻，並按照貢獻程度發放獎勵。
22,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_400_010,比如一個週期內貢獻度最高的參與者會被表彰為貢獻之星！<hex:02100103>這個人說不定哪一天就是你！
23,TEXT_CTSWKSDELEGATIONMEMBER_00927_SCANNINGWAY_400_020,要是還有什麼不明白的地方，<hex:02100103>可以在探索觸控板中詳細瞭解！
