key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_HEAVNZ515_01850_SEQ_00,飛龍港的莫古茲恩有些不安。
1,TEXT_HEAVNZ515_01850_SEQ_01,莫古茲恩為了對付不斷逼近的凶暴龍族而成立了茲恩戰鬥團。在飛龍港尋找警戒中的莫古力們。
2,TEXT_HEAVNZ515_01850_SEQ_02,找到了警戒中莫古力們。向飛龍港的莫古茲恩報告。
3,TEXT_HEAVNZ515_01850_SEQ_03,向莫古茲恩報告完畢。冒險者被任命成了茲恩戰鬥團的教官。
4,TEXT_HEAVNZ515_01850_SEQ_04,空
5,TEXT_HEAVNZ515_01850_SEQ_05,空
6,TEXT_HEAVNZ515_01850_SEQ_06,空
7,TEXT_HEAVNZ515_01850_SEQ_07,空
8,TEXT_HEAVNZ515_01850_SEQ_08,空
9,TEXT_HEAVNZ515_01850_SEQ_09,空
10,TEXT_HEAVNZ515_01850_SEQ_10,空
11,TEXT_HEAVNZ515_01850_SEQ_11,空
12,TEXT_HEAVNZ515_01850_SEQ_12,空
13,TEXT_HEAVNZ515_01850_SEQ_13,空
14,TEXT_HEAVNZ515_01850_SEQ_14,空
15,TEXT_HEAVNZ515_01850_SEQ_15,空
16,TEXT_HEAVNZ515_01850_SEQ_16,空
17,TEXT_HEAVNZ515_01850_SEQ_17,空
18,TEXT_HEAVNZ515_01850_SEQ_18,空
19,TEXT_HEAVNZ515_01850_SEQ_19,空
20,TEXT_HEAVNZ515_01850_SEQ_20,空
21,TEXT_HEAVNZ515_01850_SEQ_21,空
22,TEXT_HEAVNZ515_01850_SEQ_22,空
23,TEXT_HEAVNZ515_01850_SEQ_23,空
24,TEXT_HEAVNZ515_01850_TODO_00,尋找警戒中的莫古力們
25,TEXT_HEAVNZ515_01850_TODO_01,向莫古茲恩報告
26,TEXT_HEAVNZ515_01850_TODO_02,空
27,TEXT_HEAVNZ515_01850_TODO_03,空
28,TEXT_HEAVNZ515_01850_TODO_04,空
29,TEXT_HEAVNZ515_01850_TODO_05,空
30,TEXT_HEAVNZ515_01850_TODO_06,空
31,TEXT_HEAVNZ515_01850_TODO_07,空
32,TEXT_HEAVNZ515_01850_TODO_08,空
33,TEXT_HEAVNZ515_01850_TODO_09,空
34,TEXT_HEAVNZ515_01850_TODO_10,空
35,TEXT_HEAVNZ515_01850_TODO_11,空
36,TEXT_HEAVNZ515_01850_TODO_12,空
37,TEXT_HEAVNZ515_01850_TODO_13,空
38,TEXT_HEAVNZ515_01850_TODO_14,空
39,TEXT_HEAVNZ515_01850_TODO_15,空
40,TEXT_HEAVNZ515_01850_TODO_16,空
41,TEXT_HEAVNZ515_01850_TODO_17,空
42,TEXT_HEAVNZ515_01850_TODO_18,空
43,TEXT_HEAVNZ515_01850_TODO_19,空
44,TEXT_HEAVNZ515_01850_TODO_20,空
45,TEXT_HEAVNZ515_01850_TODO_21,空
46,TEXT_HEAVNZ515_01850_TODO_22,空
47,TEXT_HEAVNZ515_01850_TODO_23,空
48,TEXT_HEAVNZ515_01850_MOGZUN_000_000,冒險者你來了庫啵！
49,TEXT_HEAVNZ515_01850_MOGZUN_000_001,莫古們決定向冒險者學習，掌握戰鬥的能力庫啵。<hex:02100103>雖然也考慮過加入莫古力護衛團，<hex:02100103>但莫古覺得還是需要一個更加激進的組織庫啵！
50,TEXT_HEAVNZ515_01850_MOGZUN_000_002,於是莫古就組建了茲恩戰鬥團庫啵！<hex:02100103>但出去警戒的莫古托和莫古可恩一直沒回來庫啵……<hex:02100103>希望你能幫忙去找一找庫啵。
51,TEXT_HEAVNZ515_01850_MOGZUN_000_010,於是莫古就組建了茲恩戰鬥團庫啵！<hex:02100103>但出去警戒的莫古托和莫古可恩一直沒回來庫啵……<hex:02100103>希望你能幫忙去找一找庫啵。
52,TEXT_HEAVNZ515_01850_MOGOOT_000_020,風平浪靜庫啵。<hex:02100103>唔，莫古茲恩團長在叫莫古庫啵？<hex:02100103>莫古這就去庫啵！
53,TEXT_HEAVNZ515_01850_MOGKON_000_021,庫啵啵……莫古的魔法只要命中就是完美的庫啵。<hex:02100103>經常打不中是美中不足庫啵……<hex:02100103>莫古茲恩團長在叫莫古庫啵？這就去庫啵！
54,TEXT_HEAVNZ515_01850_MOGOOT_000_030,戰鬥在呼喚庫啵？！
55,TEXT_HEAVNZ515_01850_MOGKON_000_031,莫古魔法的詠唱時間長是莫古最大的萌點庫啵。
56,TEXT_HEAVNZ515_01850_MOGZUN_000_040,茲恩戰鬥團全體集合庫啵！<hex:02100103>要從不斷逼近的凶暴龍族爪下守住飛龍港庫啵！
57,TEXT_HEAVNZ515_01850_MOGZUN_000_041,從現在起，冒險者就是戰鬥團的教官了庫啵！<hex:02100103>請看著莫古們成長庫啵！
58,TEXT_HEAVNZ515_01850_MOGZUN_000_042,開始訓練吧庫啵！<hex:02100103>各自出發前去討伐目標魔物庫啵！<hex:02100103>解散庫啵！
